Symbol,Description,Sector,Industry
AAPL,Apple Inc.,Electronic technology,Telecommunications equipment
NVDA,NVIDIA Corporation,Electronic technology,Semiconductors
MSFT,Microsoft Corporation,Technology services,Packaged software
GOOG,Alphabet Inc.,Technology services,Internet software/Services
GOOGL,Alphabet Inc.,Technology services,Internet software/Services
AMZN,"Amazon.com, Inc.",Retail trade,Internet retail
META,"Meta Platforms, Inc.",Technology services,Internet software/Services
BRK.A,Berkshire Hathaway Inc.,Finance,Property/Casualty insurance
BRK.B,Berkshire Hathaway Inc. New,Finance,Property/Casualty insurance
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Electronic technology,Semiconductors
TSLA,"Tesla, Inc.",Consumer durables,Motor vehicles
AVGO,Broadcom Inc.,Electronic technology,Semiconductors
LLY,Eli Lilly and Company,Health technology,Pharmaceuticals: major
WMT,Walmart Inc.,Retail trade,Specialty stores
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",Finance,Major banks
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",Finance,Major banks
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",Finance,Major banks
JPM,JP Morgan Chase & Co.,Finance,Major banks
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",Finance,Major banks
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",Finance,Major banks
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",Finance,Major banks
V,Visa Inc.,Commercial services,Miscellaneous commercial services
XOM,Exxon Mobil Corporation,Energy minerals,Integrated oil
TCTZF,Tencent Holding Ltd.,Technology services,Packaged software
TCEHY,Tencent Holding Ltd.,Technology services,Packaged software
NONOF,Novo-Nordisk A/S,Health technology,Pharmaceuticals: major
NVO,Novo Nordisk A/S,Health technology,Pharmaceuticals: major
ORCL,Oracle Corporation,Technology services,Packaged software
MA,Mastercard Incorporated,Commercial services,Miscellaneous commercial services
HD,"Home Depot, Inc. (The)",Retail trade,Home improvement chains
PG,Procter & Gamble Company (The),Consumer non-durables,Household/Personal care
COST,Costco Wholesale Corporation,Retail trade,Specialty stores
JNJ,Johnson & Johnson,Health technology,Pharmaceuticals: major
LVMUY,LVMH-Moet Hennessy Louis Vuitton,Consumer non-durables,Apparel/Footwear
LVMHF,LVMH-Moet Hennessy Louis Vuitton,Consumer non-durables,Apparel/Footwear
NFLX,"Netflix, Inc.",Technology services,Internet software/Services
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",Finance,Major banks
BAC,Bank of America Corporation,Finance,Major banks
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",Finance,Major banks
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,Finance,Major banks
BML/PJ,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,Finance,Major banks
BML/PL,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Pref,Finance,Major banks
BAC/PB,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",Finance,Major banks
BAC/PP,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",Finance,Major banks
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",Finance,Major banks
BAC/PN,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 5.000% Non-Cumulative Preferred Stock, Series LL",Finance,Major banks
BAC/PQ,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",Finance,Major banks
BML/PG,"Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",Finance,Major banks
MER/PK,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",Finance,Major banks
BML/PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,Finance,Major banks
BAC/PO,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.375% Non-Cumulative Preferred Stock, Series NN",Finance,Major banks
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,Finance,Major banks
IDCBY,Industrial and Commercial Bank of China Ltd.,Finance,Major banks
CRM,"Salesforce, Inc.",Technology services,Packaged software
KO,Coca-Cola Company (The),Consumer non-durables,Beverages: non-alcoholic
CVX,Chevron Corporation,Energy minerals,Integrated oil
IDCBF,Industrial and Commercial Bank of China Ltd.,Finance,Major banks
ASML,ASML Holding N.V. - New York Registry Shares,Electronic technology,Semiconductors
ASMLF,ASML Holding N.V.,Electronic technology,Semiconductors
TMUS,"T-Mobile US, Inc.",Communications,Wireless telecommunications
RHHBY,Roche Holding Ltd,Health technology,Pharmaceuticals: major
RHHBF,Roche Holding Ltd,Health technology,Pharmaceuticals: major
RHHVF,Roche Holding Ltd,Health technology,Pharmaceuticals: major
ACGBF,Agricultural Bank of China,Finance,Major banks
NSRGY,Nestle S.A.,Consumer non-durables,Food: major diversified
NSRGF,Nestle S.A.,Consumer non-durables,Food: major diversified
HESAF,Hermes International SA,Consumer non-durables,Apparel/Footwear
HESAY,Hermes International SA,Consumer non-durables,Apparel/Footwear
TOYOF,Toyota Motor Corp.,Consumer durables,Motor vehicles
TM,Toyota Motor Corporation,Consumer durables,Motor vehicles
ACGBY,Agricultural Bank of China,Finance,Major banks
PEP,"PepsiCo, Inc.",Consumer non-durables,Food: specialty/candy
AZNCF,AstraZeneca Plc,Health technology,Pharmaceuticals: major
CSCO,"Cisco Systems, Inc.",Electronic technology,Telecommunications equipment
AZN,AstraZeneca PLC,Health technology,Pharmaceuticals: major
LIN,Linde plc,Process industries,Chemicals: specialty
NVS,Novartis AG,Health technology,Pharmaceuticals: major
ACN,Accenture plc,Technology services,Information technology services
WFC/PA,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Finance,Major banks
WFC/PL,Wells Fargo & Company 7.50% Non-Cumulative Perpetual Convertible,Finance,Major banks
WFC/PZ,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Finance,Major banks
WFC/PC,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Finance,Major banks
WFCNP,Wells Fargo & Co.,Finance,Major banks
WFC/PD,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Finance,Major banks
WFC/PY,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",Finance,Major banks
WFC,Wells Fargo & Company,Finance,Major banks
TMO,Thermo Fisher Scientific Inc,Health technology,Medical specialties
ADBE,Adobe Inc.,Technology services,Packaged software
NVSEF,Novartis AG,Health technology,Pharmaceuticals: major
RYDAF,SHELL PLC,Energy minerals,Integrated oil
ABT,Abbott Laboratories,Health technology,Medical specialties
BX,Blackstone Inc.,Finance,Investment managers
LRLCY,L'Oreal Co.,Consumer non-durables,Household/Personal care
LRLCF,L'Oreal Co.,Consumer non-durables,Household/Personal care
NOW,"ServiceNow, Inc.",Technology services,Packaged software
IBM,International Business Machines Corporation,Technology services,Packaged software
AXP,American Express Company,Finance,Finance/Rental/Leasing
MS/PO,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.250% Non-Cumulative Preferred Stock, Series O",Finance,Investment managers
MS/PE,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,Finance,Investment managers
MS/PL,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.875% Non-Cumulative Preferred Stock, Series L",Finance,Investment managers
MS/PQ,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.625% Non-Cumulative Preferred Stock, Series Q",Finance,Investment managers
MS/PP,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P",Finance,Investment managers
MS/PF,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,Finance,Investment managers
MS/PK,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series K",Finance,Investment managers
MS/PA,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,Finance,Investment managers
MS/PI,Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),Finance,Investment managers
MS,Morgan Stanley,Finance,Investment managers
TXN,Texas Instruments Incorporated,Electronic technology,Semiconductors
GE,GE Aerospace,Producer manufacturing,Industrial machinery
BACHY,"Bank of China, Ltd.",Finance,Major banks
QCOM,QUALCOMM Incorporated,Electronic technology,Semiconductors
CAT,"Caterpillar, Inc.",Producer manufacturing,Trucks/Construction/Farm machinery
ISRG,"Intuitive Surgical, Inc.",Health technology,Medical specialties
DHR,Danaher Corporation,Health technology,Medical specialties
IDEXY,Industria de Diseno Textil Inditex SA,Retail trade,Apparel/Footwear retail
IDEXF,Industria de Diseno Textil Inditex SA,Retail trade,Apparel/Footwear retail
INTU,Intuit Inc.,Technology services,Packaged software
VZ,Verizon Communications Inc.,Communications,Wireless telecommunications
RY,Royal Bank Of Canada,Finance,Major banks
AMGN,Amgen Inc.,Health technology,Biotechnology
HBCYF,HSBC Holdings Plc,Finance,Major banks
CMCSA,Comcast Corporation,Consumer services,Cable/Satellite TV
PDD,PDD Holdings Inc.,Retail trade,Department stores
HSBC,"HSBC Holdings, plc.",Finance,Major banks
GS/PA,"Goldman Sachs Group, Inc. (The) Depositary Shares each representing 1/1000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series A",Finance,Investment banks/Brokers
GS/PC,"Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series C",Finance,Investment banks/Brokers
GS,"Goldman Sachs Group, Inc. (The)",Finance,Investment banks/Brokers
GS/PD,"Goldman Sachs Group, Inc. (The) Dep Shs repstg 1/1000 Pfd Ser D Fltg",Finance,Investment banks/Brokers
NEE/PR,"NextEra Energy, Inc. 6.926% Corporate",Utilities,Electric utilities
NEE,"NextEra Energy, Inc.",Utilities,Electric utilities
NEE/PS,"NextEra Energy, Inc. 7.299% Corporate",Utilities,Electric utilities
T,AT&T Inc.,Communications,Wireless telecommunications
TBB,AT&T Inc. 5.350% Global Notes due 2066,Communications,Wireless telecommunications
T/PC,"AT&T Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.750% Perpetual Preferred Stock, Series C",Communications,Wireless telecommunications
TBC,AT&T Inc. 5.625% Global Notes due 2067,Communications,Wireless telecommunications
T/PA,"AT&T Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 5.000% Perpetual Preferred Stock, Series A",Communications,Wireless telecommunications
HDB,HDFC Bank Limited,Finance,Major banks
DTEGF,Deutsche Telekom AG,Communications,Major telecommunications
CMWAY,Commonwealth Bank of Australia,Finance,Major banks
UBER,"Uber Technologies, Inc.",Transportation,Other transportation
SIEGY,Siemens AG,Producer manufacturing,Industrial machinery
UNLYF,"Unilever, PLC",Consumer non-durables,Household/Personal care
UL,Unilever PLC,Consumer non-durables,Household/Personal care
SMAWF,Siemens AG,Producer manufacturing,Industrial machinery
AMAT,"Applied Materials, Inc.",Producer manufacturing,Industrial machinery
DTEGY,Deutsche Telekom AG,Communications,Major telecommunications
SPGI,S&P Global Inc.,Commercial services,Financial publishing/Services
ARM,Arm Holdings plc,Electronic technology,Semiconductors
MPNGY,MEITUAN,Transportation,Air freight/Couriers
TTE,TotalEnergies SE,Energy minerals,Integrated oil
SBGSY,Schneider Electric SE,Producer manufacturing,Electrical products
BHPLF,BHP Group Limited,Non-energy minerals,Steel
MPNGF,MEITUAN,Transportation,Air freight/Couriers
SBGSF,Schneider Electric SE,Producer manufacturing,Electrical products
TTFNF,TotalEnergies SE ,Energy minerals,Integrated oil
BHP,BHP Group Limited,Non-energy minerals,Steel
UNP,Union Pacific Corporation,Transportation,Railroads
SYK,Stryker Corporation,Health technology,Medical specialties
CILJF,China Life Insurance Company Limited,Finance,Multi-line insurance
HON,Honeywell International Inc.,Electronic technology,Aerospace & defense
CIHKY,"China Merchants Bank Co., Ltd.",Finance,Regional banks
ETN,"Eaton Corporation, PLC",Producer manufacturing,Electrical products
PIAIF,Ping An Insurance (Group) Company of China Ltd.,Finance,Multi-line insurance
PNGAY,Ping An Insurance (Group) Company of China Ltd.,Finance,Multi-line insurance
SCHW,Charles Schwab Corporation (The),Finance,Investment banks/Brokers
SCHW/PJ,"The Charles Schwab Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of 4.450% Non-Cumulative Perpetual Preferred Stock, Series J",Finance,Investment banks/Brokers
SCHW/PD,"The Charles Schwab Corporation Depositary Shares each representing 1/40th interest in a share of 5.95% Non-Cumulative Perpetual Preferred Stock, Series D",Finance,Investment banks/Brokers
LMT,Lockheed Martin Corporation,Electronic technology,Aerospace & defense
CIHHF,"China Merchants Bank Co., Ltd.",Finance,Regional banks
TJX,"TJX Companies, Inc. (The)",Retail trade,Apparel/Footwear retail
COP,ConocoPhillips,Energy minerals,Oil & gas production
EADSF,Airbus SE,Electronic technology,Aerospace & defense
ANET,"Arista Networks, Inc.",Electronic technology,Computer peripherals
ALIZY,Allianz SE,Finance,Multi-line insurance
BSX,Boston Scientific Corporation,Health technology,Medical specialties
ALIZF,Allianz SE,Finance,Multi-line insurance
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Finance,Major banks
EADSY,Airbus SE,Electronic technology,Aerospace & defense
MBFJF,"Mitsubishi UFJ Financial Group, Inc.",Finance,Major banks
PANW,"Palo Alto Networks, Inc.",Technology services,Packaged software
BUD,Anheuser-Busch Inbev SA Sponsored,Consumer non-durables,Beverages: alcoholic
BUDFF,Anheuser Busch Inbev SA NV,Consumer non-durables,Beverages: alcoholic
ADP,"Automatic Data Processing, Inc.",Technology services,Packaged software
NKE,"Nike, Inc.",Consumer non-durables,Apparel/Footwear
RACE,Ferrari N.V.,Consumer durables,Motor vehicles
MDT,Medtronic plc.,Health technology,Medical specialties
FI,"Fiserv, Inc.",Finance,Regional banks
UPS,"United Parcel Service, Inc.",Transportation,Air freight/Couriers
CB,Chubb Limited,Finance,Property/Casualty insurance
CHDRY,Christian Dior S.E.,Consumer non-durables,Consumer sundries
RTPPF,Rio Tinto plc,Non-energy minerals,Other metals/Minerals
HTHIY,Hitachi Ltd.,Producer manufacturing,Industrial machinery
RIO,Rio Tinto Plc,Non-energy minerals,Other metals/Minerals
CHDRF,Christian Dior S.E.,Consumer non-durables,Consumer sundries
BYDDF,"BYD Co., Ltd.",Producer manufacturing,Electrical products
SNEJF,Sony Group Corporation,Electronic technology,Computer processing hardware
CSUAY,"China Shenhua Energy Co., Ltd.",Energy minerals,Coal
BYDDY,"BYD Co., Ltd.",Producer manufacturing,Electrical products
DE,Deere & Company,Producer manufacturing,Trucks/Construction/Farm machinery
KYCCF,Keyence Corp.,Electronic technology,Electronic equipment/Instruments
SONY,Sony Group Corporation,Electronic technology,Computer processing hardware
IBN,ICICI Bank Limited,Finance,Regional banks
MMC,"Marsh & McLennan Companies, Inc.",Finance,Insurance brokers/Services
RTNTF,Rio Tinto Ltd.,Non-energy minerals,Other metals/Minerals
HTHIF,Hitachi Ltd.,Producer manufacturing,Industrial machinery
MELI,"MercadoLibre, Inc.",Retail trade,Internet retail
FRCOF,Fast Retailing Co. Ltd.,Retail trade,Apparel/Footwear retail
AIQUY,L'Air Liquide SA,Process industries,Chemicals: specialty
AIQUF,L'Air Liquide SA,Process industries,Chemicals: specialty
ABBNY,ABB Ltd.,Producer manufacturing,Electrical products
ABLZF,ABB Ltd.,Producer manufacturing,Electrical products
SHOP,Shopify Inc.,Technology services,Information technology services
PROSY,Prosus NV,Technology services,Internet software/Services
FRCOY,Fast Retailing Co. Ltd.,Retail trade,Apparel/Footwear retail
AMT,American Tower Corporation (REIT),Finance,Real estate investment trusts
PROSF,Prosus NV,Technology services,Internet software/Services
SOJE,"Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15, 2060",Utilities,Electric utilities
SOJC,"Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1, 2077",Utilities,Electric utilities
SO,Southern Company (The),Utilities,Electric utilities
SOJD,"Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30, 2080",Utilities,Electric utilities
LRCX,Lam Research Corporation,Producer manufacturing,Industrial machinery
ELV,"Elevance Health, Inc.",Health services,Managed health care
SAFRY,Safran SA,Electronic technology,Aerospace & defense
RCRRF,"Recruit Holdings Co., Ltd.",Technology services,Internet software/Services
SAFRF,Safran SA,Electronic technology,Aerospace & defense
IBDSF,Iberdrola S.A.,Utilities,Electric utilities
PLTR,Palantir Technologies Inc.,Technology services,Packaged software
IBDRY,Iberdrola S.A.,Utilities,Electric utilities
REGN,"Regeneron Pharmaceuticals, Inc.",Health technology,Pharmaceuticals: major
RCRUY,"Recruit Holdings Co., Ltd.",Technology services,Internet software/Services
MDLZ,"Mondelez International, Inc.",Consumer non-durables,Food: specialty/candy
HNHPF,Hon Hai Precision Industry Co. Ltd.,Electronic technology,Computer peripherals
SHW,Sherwin-Williams Company (The),Process industries,Industrial specialties
KLAC,KLA Corporation,Electronic technology,Electronic equipment/Instruments
CSLLY,CSL Ltd.,Health technology,Biotechnology
ICE,Intercontinental Exchange Inc.,Finance,Investment banks/Brokers
ENB,Enbridge Inc,Industrial services,Oil & gas pipelines
EBGEF,Enbridge Inc.,Industrial services,Oil & gas pipelines
EBBNF,Enbridge Inc.,Industrial services,Oil & gas pipelines
EBRZF,Enbridge Inc.,Industrial services,Oil & gas pipelines
ENNPF,Enbridge Inc.,Industrial services,Oil & gas pipelines
ENBGF,Enbridge Inc.,Industrial services,Oil & gas pipelines
EBBGF,Enbridge Inc.,Industrial services,Oil & gas pipelines
XIACY,Xiaomi Corp.,Electronic technology,Telecommunications equipment
ABNB,"Airbnb, Inc.",Consumer services,Other consumer services
XIACF,Xiaomi Corp.,Electronic technology,Telecommunications equipment
AAGIY,"AIA Group, Ltd.",Finance,Multi-line insurance
IVSBF,Investors AB,Finance,Financial conglomerates
DUK,Duke Energy Corporation (Holding Company),Utilities,Electric utilities
DUK/PA,"Duke Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock",Utilities,Electric utilities
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,Utilities,Electric utilities
INFY,Infosys Limited,Technology services,Information technology services
CMXHF,CSL Ltd.,Health technology,Biotechnology
SCCO,Southern Copper Corporation,Non-energy minerals,Other metals/Minerals
RLXXF,RELX PLC,Commercial services,Miscellaneous commercial services
WM,"Waste Management, Inc.",Industrial services,Environmental services
SMFNF,Sumitomo Mitsui Financial Group Inc.,Finance,Major banks
EQIX,"Equinix, Inc.",Finance,Real estate investment trusts
ZFSVF,Zurich Insurance Group Ltd,Finance,Multi-line insurance
ZURVY,Zurich Insurance Group Ltd,Finance,Multi-line insurance
CFRUY,Compagnie Financiere Richemont AG,Consumer durables,Other consumer specialties
CFRHF,Compagnie Financiere Richemont AG,Consumer durables,Other consumer specialties
TT,Trane Technologies plc,Producer manufacturing,Industrial machinery
AAIGF,"AIA Group, Ltd.",Finance,Multi-line insurance
DBSDF,DBS Group Holdings Ltd.,Finance,Major banks
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,Finance,Major banks
CTAS,Cintas Corporation,Consumer services,Other consumer services
MCO,Moody's Corporation,Commercial services,Financial publishing/Services
DBSDY,DBS Group Holdings Ltd.,Finance,Major banks
PBR,Petroleo Brasileiro S.A.- Petrobras,Energy minerals,Integrated oil
PBR.A,Petroleo Brasileiro S.A.- Petrobras,Energy minerals,Integrated oil
ZTS,Zoetis Inc.,Health technology,Pharmaceuticals: major
NPPXF,Nippon Telegraph & Telephone Corp.,Communications,Major telecommunications
NTTYY,Nippon Telegraph & Telephone Corp.,Communications,Major telecommunications
APH,Amphenol Corporation,Electronic technology,Electronic components
PH,Parker-Hannifin Corporation,Electronic technology,Electronic equipment/Instruments
AXAHF,AXA,Finance,Multi-line insurance
PBCRF,PT Bank Central Asia,Finance,Major banks
PBCRY,PT Bank Central Asia,Finance,Major banks
CEG,Constellation Energy Corporation,Utilities,Electric utilities
GD,General Dynamics Corporation,Electronic technology,Aerospace & defense
AXAHY,AXA,Finance,Multi-line insurance
CME,CME Group Inc.,Finance,Investment banks/Brokers
APO,"Apollo Global Management, Inc. (New)",Finance,Investment managers
APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",Finance,Investment managers
APO/PA,"Apollo Global Management, Inc. 6.75% Series A Mandatory Convertible Preferred Stock",Finance,Investment managers
CMG,"Chipotle Mexican Grill, Inc.",Consumer services,Restaurants
SNPS,"Synopsys, Inc.",Technology services,Packaged software
AON,Aon plc,Finance,Insurance brokers/Services
ITW,Illinois Tool Works Inc.,Producer manufacturing,Auto parts: OEM
ISNPY,Intesa Sanpaolo S.p.A.,Finance,Major banks
CHGCY,"Chugai Pharmaceutical Co., Ltd.",Health technology,Pharmaceuticals: major
PYPL,"PayPal Holdings, Inc.",Commercial services,Miscellaneous commercial services
CDNS,"Cadence Design Systems, Inc.",Technology services,Packaged software
BNPQF,BNP Paribas,Finance,Major banks
SAN,"Banco Santander, S.A. Sponsored",Finance,Major banks
ENLAY,ENEL Societa per Azioni,Utilities,Electric utilities
BNPQY,BNP Paribas,Finance,Major banks
NABZY,"National Australia Bank Ltd. (Victoria, Australia)",Finance,Major banks
CL,Colgate-Palmolive Company,Consumer non-durables,Household/Personal care
ATLCY,Atlas Copco AB,Producer manufacturing,Industrial machinery
ATLKY,Atlas Copco AB,Producer manufacturing,Industrial machinery
MSI,"Motorola Solutions, Inc.",Electronic technology,Telecommunications equipment
ESOCF,ENEL Societa per Azioni,Utilities,Electric utilities
BCDRF,Banco Santander S.A.,Finance,Major banks
SPOT,Spotify Technology S.A.,Technology services,Internet software/Services
IITSF,Intesa Sanpaolo S.p.A.,Finance,Major banks
GSK,GSK plc,Health technology,Pharmaceuticals: major
USB/PA,"U.S. Bancorp Depositary Shares, Each representing a 1/100th interest in a share of Series A Non-CumulativePerpetual Pfd Stock",Finance,Major banks
USB/PQ,"U.S. Bancorp Depositary Shares, Each Representing a 1/1,000th Interest in a Share of Series L Non-Cumulative Perpetual Preferred Stock",Finance,Major banks
USB,U.S. Bancorp,Finance,Major banks
USB/PS,"U.S. Bancorp Depositary Shares, each representing a 1/1,000th interest in a share of Series O Non-Cumulative Perpetual Preferred Stock",Finance,Major banks
USB/PP,"U.S. Bancorp Depositary Shares each representing a 1/1,000th interest in a share of Series K Non-Cumulative Perpetual Preferred Stock",Finance,Major banks
USB/PR,"U.S. Bancorp Depositary Shares, Each Representing a 1/1,000th Interest in a Share of Series M Non-Cumulative Perpetual Preferred Stock",Finance,Major banks
USB/PH,U.S. Bancorp Depositary Shares repstg 1/1000th Pfd Ser B,Finance,Major banks
CHGCF,"Chugai Pharmaceutical Co., Ltd.",Health technology,Pharmaceuticals: major
PNC,"PNC Financial Services Group, Inc. (The)",Finance,Major banks
TRI,Thomson Reuters Corp,Technology services,Internet software/Services
NOC,Northrop Grumman Corporation,Electronic technology,Aerospace & defense
GLAXF,GSK plc,Health technology,Pharmaceuticals: major
UNCFF,UniCredito Spa,Finance,Major banks
UNCRY,UniCredito Spa,Finance,Major banks
MKKGY,Merck KGaA,Health technology,Pharmaceuticals: major
SHECY,"Shin-Etsu Chemical Co., Ltd.",Process industries,Chemicals: specialty
CP,Canadian Pacific Kansas City Limited,Transportation,Railroads
CNQ,Canadian Natural Resources Limited,Energy minerals,Oil & gas production
SHECF,"Shin-Etsu Chemical Co., Ltd.",Process industries,Chemicals: specialty
ITOCY,Itochu Corp.,Distribution services,Food distributors
MSBHF,Mitsubishi Corp.,Distribution services,Wholesale distributors
MKGAF,Merck KGaA,Health technology,Pharmaceuticals: major
CVS,CVS Health Corporation,Retail trade,Drugstore chains
WEBNF,Westpac Banking Corp. Ltd.,Finance,Major banks
MTSUY,Mitsubishi Corp.,Distribution services,Wholesale distributors
TGT,Target Corporation,Retail trade,Specialty stores
TKOMY,"Tokio Marine Holdings, Inc.",Finance,Property/Casualty insurance
MMM,3M Company,Producer manufacturing,Industrial conglomerates
ECL,Ecolab Inc.,Process industries,Chemicals: specialty
ITOCF,Itochu Corp.,Distribution services,Food distributors
DEO,Diageo plc,Consumer non-durables,Beverages: alcoholic
APD,"Air Products and Chemicals, Inc.",Process industries,Chemicals: specialty
EOG,"EOG Resources, Inc.",Energy minerals,Oil & gas production
NU,Nu Holdings Ltd.,Technology services,Information technology services
CNI,Canadian National Railway Company,Transportation,Railroads
TOELY,Tokyo Electron Ltd.,Producer manufacturing,Industrial machinery
DGEAF,Diageo plc,Consumer non-durables,Beverages: alcoholic
KDDIF,KDDI Corp.,Communications,Wireless telecommunications
FDX,FedEx Corporation,Transportation,Air freight/Couriers
TOELF,Tokyo Electron Ltd.,Producer manufacturing,Industrial machinery
BMO,Bank Of Montreal,Finance,Major banks
TKOMF,"Tokio Marine Holdings, Inc.",Finance,Property/Casualty insurance
STOHF,Equinor ASA,Energy minerals,Integrated oil
CARR,Carrier Global Corporation,Producer manufacturing,Industrial machinery
IBKR,"Interactive Brokers Group, Inc.",Finance,Investment banks/Brokers
MBGYY,Mercedes Benz Group AG,Consumer durables,Motor vehicles
SFBQF,Softbank Group Corp,Communications,Wireless telecommunications
MBGAF,Mercedes Benz Group AG,Consumer durables,Motor vehicles
KDDIY,KDDI Corp.,Communications,Wireless telecommunications
CNSWF,"Constellation Software, Inc.",Technology services,Packaged software
CSX,CSX Corporation,Transportation,Railroads
DRPRY,DR ING H C F PORSCHE AG,Consumer durables,Motor vehicles
DRPRF,DR ING H C F PORSCHE AG,Consumer durables,Motor vehicles
EQNR,Equinor ASA,Energy minerals,Integrated oil
FCX,"Freeport-McMoRan, Inc.",Non-energy minerals,Other metals/Minerals
BNS,Bank Nova Scotia Halifax Pfd 3,Finance,Major banks
WDAY,"Workday, Inc.",Technology services,Information technology services
ZIJMF,Zijin Mining Group Company Ltd.,Non-energy minerals,Precious metals
NTDOF,"Nintendo Co., Ltd.",Consumer durables,Recreational products
VCISY,Vinci SA,Industrial services,Engineering & construction
WMB,"Williams Companies, Inc. (The)",Industrial services,Oil & gas pipelines
ZIJMY,Zijin Mining Group Company Ltd.,Non-energy minerals,Precious metals
VCISF,Vinci SA,Industrial services,Engineering & construction
RSG,"Republic Services, Inc.",Industrial services,Environmental services
EMR,Emerson Electric Company,Electronic technology,Electronic equipment/Instruments
ADSK,"Autodesk, Inc.",Technology services,Packaged software
DSKYF,"Daiichi Sankyo Co., Ltd.",Health technology,Pharmaceuticals: major
